"a", "b", "c", "d", "e", "f", "g", "h", "i", "j", "k", "l", "m"
"10789","","Nasvang","","Endangered (20 percent certain, based on the evidence available)","275","Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu","","","","Vanuatu;","Pacific","-16.456484,167.664426;"
"4899","ntz","Natanzi","","Threatened (20 percent certain, based on the evidence available)","7,030","Indo-European; Indo-Iranian; Iranian; Western Iranian","","","","Iran;","Near East","33.452,51.3006"
"10858","ncz","Natchez","","Awakening ()","","Unclassified","","","","USA;","North America",""
"2512","1hr","Nāti","Naati;","Severely Endangered (20 percent certain, based on the evidence available)","25","Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu","","","Variety of Southwest Bay","Vanuatu;","Pacific","-16.515, 167.4645"
"3816","nti","Natioro","Koo'ra; Natyoro; Natjoro; Samukune;","Vulnerable (60 percent certain, based on the evidence available)","~4,000","Niger-Congo; Atlantic-Congo; North Volta-Congo; Gur","Ginaourou; Kaouara-Timba-Sindou-Koroni; Kawara-Timba-Sindoukoroni; Dinaoro","","","Burkina Faso;","Africa",""
"2723","nxa","Nauete","Nauhete; Naueti; Naóti; Nauote; Nauoti;","Endangered (20 percent certain, based on the evidence available)","1,000","Austronesian; Malayo-Polynesian; Timor","Oso Moko; Naumik;","","","East Timor;","Pacific","-8.7357,126.7053"
"1714","ynk","Naukan Yupik","Naukanski; East Cape Yupik; East Cape; Науканский язык; нывуӄаӷмит; ナウカン語;","Endangered (20 percent certain, based on the evidence available)","~200","Eskimo-Aleut; Eskimo; Yupik","","","","Russia;","Caucasus;Europe;East Asia","66.0,-172.0"
"2370","ncn","Nauna","Naune; Admiralitäts-inseln;","Severely Endangered (20 percent certain, based on the evidence available)","100","Austronesian; Malayo-Polynesian; Oceanic; Admiralty Islands","","","","Papua New Guinea;","Pacific","-2.2159,148.1986"
"3570","cpi","Nauru Pacific Pidgin","NPP; Melanesian-Chinese Mixed Pidgin English in Nauru","Threatened (20 percent certain, based on the evidence available)","","Pidgin or Creole; English based","","","Wurm 2007; Siegel 1990","Nauru;","Pacific","-0.53,166.93"
"3066","nau","Nauruan","Nauru;","Threatened (20 percent certain, based on the evidence available)","6,000","Austronesian; Malayo-Polynesian; Oceanic; Micronesian","","","","Nauru;","Pacific","-0.5,166.916666667"
"3065","1hx","Navwien","","Critically Endangered (20 percent certain, based on the evidence available)","5","Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu","","","","Vanuatu;","Pacific","-16.469, 167.4975"
"4906","nwr","Nawaru","Sirio;","Endangered (20 percent certain, based on the evidence available)","190","Trans-New Guinea; Yareban","","","","Papua New Guinea;","Pacific","-9.43713,148.3008"
"2680","noz","Nayi","Naya; Na'o; Nao;","Severely Endangered (100 percent certain, based on the evidence available)","7,188","Afro-Asiatic; Omotic; Dizoid","","","","Ethiopia;","Africa","7.2698,36.1724"
"4909","nyq","Nayini","Biyabanak;","Threatened (20 percent certain, based on the evidence available)","7,030","Indo-European; Indo-Iranian; Iranian; Western Iranian","Khuri; Nayini; Anarak;","","","Iran;","Near East","32.8519,53.1573"
"4622","nlu","Nchumbulu","Guang;","Threatened (20 percent certain, based on the evidence available)","1,800","Niger-Congo; Atlantic-Congo; Kwa","","","","Ghana;","Africa",""
"10901","nnz","Nda'nda'","Bamileke-Nda’nda’, Bangwa","Vulnerable (20 percent certain, based on the evidence available)","10,000 (1990 SIL)"," Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Wide Grassfields, Narrow Grassfields, Mbam-Nkam, Bamileke
","

Undimeha (East Nda’nda’), Ungameha (South Nda’nda’, West Nda’nda’). Batoufam is a subvariety of East Nda’nda’.
","","-","Cameroon;","Africa","4.605090, 10.199520"
"554","gke","Ndai","Galke; Pormi;","Critically Endangered (20 percent certain, based on the evidence available)","Few","Niger-Congo; Atlantic-Congo; North Volta-Congo; Adamawa","","","","Cameroon;","Africa","8.399,14.1641"
"4590","ndm","Ndam","Dam; Ndamm; Gulei;","Threatened (20 percent certain, based on the evidence available)","6,500","Afro-Asiatic; Chadic; East Chadic","Ndam Dik; Ndam-Ndam;","","","Chad;","Africa","9.801091, 17.412506"
"4123","eli","Nding","Eliri;","Threatened (20 percent certain, based on the evidence available)","3,513","Niger-Congo; Talodi","","","","Sudan;","Africa","10.4121,30.6024"
"2555","djj","Ndjebbana","Gunibidji; Gunavidji; Ndjébbana; Djeebbana; Gunawitji; Gunabidji; Gunabwidji; Gunjibidji; Witji; Kunibidji; Ndjéya; Gijiya; Djeepana; Gunaviji; Gunavidgi; NdjÃ©bbana;","Endangered (20 percent certain, based on the evidence available)","241","Maningrida","","","","Australia;","Australia","-12.1624,134.253"
"10442","ndr","Ndoola ","Ndola; Ndoro; Ndooro; Njoyame; Nundoro
","Vulnerable (20 percent certain, based on the evidence available)",">10,000","Niger-Congo; Atlantic-Congo; Benue-Congo; Northern Bantoid","","","","Nigeria;Cameroon;","Africa","7.29, 11.31"
"304","nuh","Ndunda","","Endangered (20 percent certain, based on the evidence available)","300-400","Niger-Congo; Atlantic-Congo; Benue-Congo; Northern Bantoid","","","","Nigeria;","Africa","6.9482,10.9698"
"7710","ndv","Ndut","Ndoute;","Vulnerable (20 percent certain, based on the evidence available)","25,000-50,000","Niger-Congo; Atlantic-Congo; North Atlantic","","","","Senegal;","Africa","14.912690, -16.993375"
"4866","njt","Ndyuka-Trio Pidgin","","Dormant ()","Ø","Pidgin or Creole; English based","","","","Suriname;","South America","2.95, -56.02"
"9409","nec","Nedebang","Klamu","Critically Endangered (100 percent certain, based on the evidence available)","~200","Timor-Alor-Pantar","","","","Indonesia;","Southeast Asia","-8.275, 124.202"
"2891","neg","Negidal","Neghidal; Nigidal; Ilkan Beye; El'kan Beye; Elkembei; негидальский язык; Неғида; Negidaly; ","Severely Endangered (80 percent certain, based on the evidence available)","~150","Tungusic; Northern Tungusic","Nizovsk; Verkhovsk","","","Russia;","Caucasus;Europe;East Asia","53.0,139.0"
"9011","crk-pla","Nēhiyawēwin","ᓀᐦᐃᔭᐍᐏᐣ; Plains Cree; Cree;","Severely Endangered (20 percent certain, based on the evidence available)","68","Algic; Algonquian; Cree-Montagnais","","ᓀᐦᐃᔭᐍᐏᐣ (Nēhiyawēwin) is the self-designation for the Plains Cree language.","","Canada;","North America","54.7200000, -116.7300000"
"3056","nek","Neku","Neukaledonien;","Endangered (20 percent certain, based on the evidence available)","220","Austronesian; Malayo-Polynesian; Oceanic; New Caledonian","","","","New Caledonia;","Pacific","-21.5169,165.4568"
"3055","nem","Nemi","Neukaledonien;","Endangered (20 percent certain, based on the evidence available)","320","Austronesian; Malayo-Polynesian; Oceanic; New Caledonian","","","","New Caledonia;","Pacific","-20.6494,164.6878"
"4890","nqn","Nen","","Endangered (20 percent certain, based on the evidence available)","250","Morehead-Upper Maro","","","","Papua New Guinea;","Pacific","-8.62, 142.03"
"4659","mid","Neo-Mandaic","Mandaic (Modern); Mandaean; Modern Mandaic; Manda:yi; Mandaic;","Severely Endangered (100 percent certain, based on the evidence available)","100-200","Afro-Asiatic; Semitic; Aramaic","Ahwaz; Iraqi Neo-Mandaic; Shushtar;","","","Iran;Iraq;","Near East","31.1913, 48.4009"
"4464","kxl","Nepali Kurux","Kurukh; Oraon; Kurux; Kuṛux; Kurux, Nepali","Vulnerable (80 percent certain, based on the evidence available)","28,615","Dravidian; North Dravidian","","","","Nepal;","South Asia","27.9275,84.2866"
"2089","08o","Nese","Matanvat","Critically Endangered (100 percent certain, based on the evidence available)","15","Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu","","","","Vanuatu;","Pacific",""
"8557","1no","New Bargut","New Barghut; Xin Baerhu; Menggu; 新巴爾虎土語","Vulnerable (80 percent certain, based on the evidence available)","","Mongolic; Common Mongolic; Northern Common Mongolic
","","","Like Old Bargut, New Bargut is an early (18th century) Manchurian branch of Eastern Buryat that has developed under increasing influence of the northern dialects of Mongolian proper.","China;","East Asia","48.684, 116.814"
"1715","nez","Nez Perce","Shahaptan; Chopunnish; Nimipu; Numipu; Nuumiipuutimt; Nuumiipuutímt;","Critically Endangered (80 percent certain, based on the evidence available)","<50","Sahaptian","Downriver; Upriver;","","","USA;","North America","46.4347,-116.8268"
"2556","ntj","Ngaanyatjarra","Nyanganyatjara; Ngaanjatjarra; Ngadawongga; Witjandja; Kurara; Jabungadja; Ku:rara Nadadjara; Nga:da; Nga:dapitjardi; Ngad-adara; Ngadatara; Ngadatjara; Ngadjatara; Nganadjara; Ngatatara; Ngatatjara; Rumudjara; Teitudjara; Wan:udjara; Warara; Wirtjandja; Ngadhawonga; Ngarawonga; Nana; Warburton Ranges; Ngadadjara; Ngaanyatjara;","Threatened (20 percent certain, based on the evidence available)","1,300","Pama-Nyungan; Wati","","","","Australia;","Australia","-25.983872, 127.007311"
"5449","08q","Ngaatjatjara","Jabungadja; Ku:rara; Nadadjara; Nga:da; Nga:dapitjardi; Ngad-adara; Ngadatara; Ngadatjara; Ngadawongga; Ngadjatara; Nganadjara; Ngatatara; Ngatatjara; Rumudjara; Teitudjara; Wan:udjara; Warara; Wirtjandja; Witjandja; Ngaatjatjarra","Severely Endangered (20 percent certain, based on the evidence available)","12","Pama-Nyungan; Wati","","","","Australia;","Australia","-24.951158,125.958117"
"4900","nud","Ngala","Gala; Kara; Nggala; Sogap; Swagup","Endangered (20 percent certain, based on the evidence available)","136","Sepik; Ndu","","","","Papua New Guinea;","Pacific","-4.22804,142.5105"
"10764","nig","Ngalakgan","Ngalakant; Hongalla; Ngalangan","Dormant ()","No known L1 speakers","Gunwinyguan","","","","Australia;","Australia","-14.300215, 134.298144"
"5546","djd-nga","Ngaliwurru","Baj Subgroup; Ngaliwerra; Ngaliwuru;","Endangered (20 percent certain, based on the evidence available)","~100","Mirndi","","","","Australia;","Australia","-15.789444,130.875896"
"10696","szb","Ngalum","Sibil","Vulnerable (20 percent certain, based on the evidence available)","18,000","Trans-New Guinea; Ok","Apmisibil; Ngalum; Sibil","","","Indonesia;Papua New Guinea;","Southeast Asia;Pacific","-4.68, 141.03"
"4885","nmv","Ngamini","Yarluyandi; Yarluyandji; Karangura; A:mini; Agaminni; Ahminie; Ahminnie; Amini; Aumine; Auminie; Aurnini; Awmani; Gnameni; Ngaminni; Ngnaminni; Ominee; Uminnie; Ngameni; Ganmeni; Unminnie; Karanguru; Kurangooroo; Jeljendi; Jeljujendi; Yelyayendi; Yarleeyandee;","Critically Endangered (20 percent certain, based on the evidence available)","2","Pama-Nyungan; Karnic","","Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.","","Australia;","Australia","-27.07538021,139.0719368"
"6352","nbh","Ngamo","Ngamawa; Gamo; Gamawa;","Vulnerable (20 percent certain, based on the evidence available)","~60,000","Afro-Asiatic; Chadic; West Chadic","","","","Nigeria;","Africa","6.772275,37.313475"
"5947","nam-nan","Ngan'gikurunggurr","Tyemeri; Marityemeri; Ngangikurrunggurr; Moil; Ngangikurongor; Ngangikarangurr; Ngangikurrungur; Ngankikurungkurr; Nangikurrunggurr; Nanggikorongo; Ngenkikurrunggur;","Endangered (20 percent certain, based on the evidence available)","240","Southern Daly","","","","Australia;","Australia",""
"2553","nam","Ngan'gityemerri","Ngan'gityemeri; Ngan'gikurunggurr; Nangikurrunggurr; Ngenkikurrunggur; Ngangikarangurr; Ngankikurrunkurr; Nangikurunggurr; Ngankikurungkurr; Tyemeri; Marityemeri; Ngangikurrunggurr; Moil; Ngangikurongor; Ngangikurrungur; Nangityemeri; Ngenkityemeri;","Endangered (20 percent certain, based on the evidence available)","~150","Southern Daly","Ngan'giwumirri; Ngan'gimerri; Ngan'gikurunggurr;","","","Australia;","Australia","-14.268,131.237"
"2893","nio","Nganasan","Tavgi Samoyed; Tavgy; Ŋanasan; Tawgy; Tavgi; нганасанский язык; тавгийский язык; tavgiysky; тавгийско-самоедский язык; tavgiysko-samoyedsky; ня”; njaʔ; Ня’’ сиәде; Nganasanin kieli; Northern Samoyed; Tawgy-Samojedisch; Nganasanisch; tavgui; ŋanasaŋ; nganasany; Tawgi; Samojeditawgi; Tawgy-Sprache;


","Severely Endangered (80 percent certain, based on the evidence available)","~500","Uralic; Samoyedic","Khatang; Avam","","","Russia;","Caucasus;Europe;East Asia","71.0,93.0"
"4859","nid","Ngandi","N'gundi; Ngalbon; Ngalgbun; Nandi;","Critically Endangered (20 percent certain, based on the evidence available)","9","Gunwinyguan; East Arnhem","","","","Australia;","Australia","-14.08540036,135.3815377"
"6671","nyx","Nganyaywana","Anaiwan; Anaywan; Anewan; Aniwan; Dariwan; Ee-na-won; Eenewon; Eneewin; En-nee-win; Enni-won; Enuin; Inuwan; Inuwon; Narwo; Nee-inuwon; Nganjaywana; Nowan; Yenniwon;","Dormant ()","0?","Pama-Nyungan; Anewan","","Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.","","Australia;","Australia","-30.46683576, 151.5553039"
"5246","rxd","Ngardi","Ngarti; Ngadi; Ngari; Ngardilj; Panara; Bunara; Boonara; Waiangara; Kolo; Waiangari; Wain-gara; Waiangadi; Waringari; Warangari; Kukuruba; Woneiga; Wanayaga; Puruwantung; Buruwatung; Manggai; Munga; Walmala; Wommana;","Severely Endangered (20 percent certain, based on the evidence available)","10","Pama-Nyungan; Ngumpin-Yapa","","Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.","","Australia;","Australia","-20.85043936,128.8885148"
"6712","xni","Ngarigu","Ngarigu; Ngarigo; Ngaruku; Ngaragu; Ngundura; Ngarego; Ngarago; Garego; Ngarruga; Bemeringal; Wolgal; Walgalu;","Dormant ()","0?","Pama-Nyungan; Yuin-Kuric","","Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.","","Australia;","Australia","-36.30008261,148.7238073"
